Country,more_info,date_of_release,travel_advisory,risk_rating,text
Afghanistan,http://smartraveller.gov.au/Countries/asia/south/Pages/afghanistan.aspx,2017-09-17 14:02:56,True,danger,Afghanistan overall
Albania,http://smartraveller.gov.au/Countries/europe/southern/Pages/albania.aspx,2017-07-04 02:19:47,True,normal,Albania overall
Algeria,http://smartraveller.gov.au/Countries/africa/north/Pages/algeria.aspx,2017-03-30 04:18:58,True,warning,Algeria overall
Algeria,http://smartraveller.gov.au/Countries/africa/north/Pages/algeria.aspx,2017-03-30 04:18:58,True,danger,Within 450 kilometres of borders with Mali and Niger 
Algeria,http://smartraveller.gov.au/Countries/africa/north/Pages/algeria.aspx,2017-03-30 04:18:58,True,danger,"Within 100 kilometres of borders with Mauritania, Libya and Tunisia "
American Samoa,http://smartraveller.gov.au/Countries/pacific/Pages/american_samoa.aspx,2016-03-02 05:13:00,null,null,null
Andorra,http://smartraveller.gov.au/Countries/europe/southern/Pages/andorra.aspx,2016-03-02 05:16:00,null,null,null
Angola,http://smartraveller.gov.au/Countries/africa/central/Pages/angola.aspx,2017-08-27 22:30:21,True,caution,Angola overall
Angola,http://smartraveller.gov.au/Countries/africa/central/Pages/angola.aspx,2017-08-27 22:30:21,True,warning,"Cabinda, Lunda Norte and Sul"
Antigua and Barbuda,http://smartraveller.gov.au/Countries/americas/caribbean/Pages/antigua_and_barbuda.aspx,2015-08-26 06:19:00,null,null,null
Argentina,http://smartraveller.gov.au/Countries/americas/south/Pages/argentina.aspx,2017-07-05 04:33:15,True,normal,Argentina overall
Armenia,http://smartraveller.gov.au/Countries/europe/eastern/Pages/armenia.aspx,2017-08-30 02:16:25,True,normal,Armenia overall
Armenia,http://smartraveller.gov.au/Countries/europe/eastern/Pages/armenia.aspx,2017-08-30 02:16:25,True,danger,Nagorno-Karabakh and surrounding military occupied areas
Armenia,http://smartraveller.gov.au/Countries/europe/eastern/Pages/armenia.aspx,2017-08-30 02:16:25,True,danger,Armenia-Azerbaijan border areas
Aruba,http://smartraveller.gov.au/Countries/americas/caribbean/Pages/aruba.aspx,2016-05-27 02:22:00,null,null,null
Austria,http://smartraveller.gov.au/Countries/europe/western/Pages/austria.aspx,2017-09-29 07:18:20,True,normal,Austria overall
Azerbaijan,http://smartraveller.gov.au/Countries/europe/eastern/Pages/azerbaijan.aspx,2017-07-11 05:18:45,True,normal,Azerbaijan overall
Azerbaijan,http://smartraveller.gov.au/Countries/europe/eastern/Pages/azerbaijan.aspx,2017-07-11 05:18:45,True,danger,Nagorno-Karabakh and surrounding military occupied areas
Azerbaijan,http://smartraveller.gov.au/Countries/europe/eastern/Pages/azerbaijan.aspx,2017-07-11 05:18:45,True,danger,Armenia-Azerbaijan border areas
Bahrain,http://smartraveller.gov.au/Countries/middle-east/Pages/bahrain.aspx,2017-06-21 04:38:00,True,warning,Bahrain overall
Bangladesh,http://smartraveller.gov.au/Countries/asia/south/Pages/bangladesh.aspx,2017-09-13 12:30:37,True,warning,Bangladesh overall
Barbados,http://smartraveller.gov.au/Countries/americas/caribbean/Pages/barbados.aspx,2016-01-25 08:17:00,null,null,null
Belarus,http://smartraveller.gov.au/Countries/europe/eastern/Pages/belarus.aspx,2017-02-02 23:17:09,True,normal,Belarus overall
Belgium,http://smartraveller.gov.au/Countries/europe/western/Pages/belgium.aspx,2017-06-21 00:43:09,True,caution,Belgium overall
Belize,http://smartraveller.gov.au/Countries/americas/central/Pages/belize.aspx,2017-08-14 05:16:09,True,caution,Belize overall
Benin,http://smartraveller.gov.au/Countries/africa/west/Pages/benin.aspx,2016-10-25 00:28:51,True,caution,Benin overall
